,type,registration,operator,country,cat,new_date,new_fatalities
3602,Douglas C-47A (DC-3),43-15598,USAAF,USA,A1,2044-08-12,1
3603,Douglas C-47A (DC-3),43-15621,USAAF,Italy,A1,2044-08-12,6
3604,Douglas Dakota III (DC-3),KG625,RAF,France,A1,2044-08-12,6
3605,Consolidated PBY-5 Catalina,8331,US Navy,Pacific Ocean,A1,2044-08-13,4
3606,Consolidated C-87,43-30587,USAAF,India,A1,2044-08-13,6
3607,Curtiss C-46A,42-107288,USAAF,India,A1,2044-08-14,6
3608,Consolidated PBY-5 Catalina,8494,US Navy,Indonesia,A1,2044-08-14,0
3609,Douglas DC-3-220A,D-AAIE,Deutsche Lufthansa,Germany,C1,2044-08-14,0
3610,Douglas C-47A (DC-3),42-23720,USAAF,P.N. Guinea,A1,2044-08-14,6
3611,Douglas Dakota III (DC-3),KG784,RAF,Atlantic Ocean,A1,2044-08-14,6
3612,Curtiss C-46A,42-107390,USAAF,India,O1,2044-08-15,6
3613,Douglas C-47A (DC-3),42-92735,USAAF,Italy,A1,2044-08-15,6
3614,Consolidated PBY-2 Catalina,454,US Navy,USA,A1,2044-08-15,6
3615,Consolidated PBY-5 Catalina,2373,US Navy,USA,A1,2044-08-15,6
3616,DH.86B Express,A31-1,RAAF,Unknown country,A1,2044-08-15,0
3617,Short Sunderland III,DP197,RAF,U.K.,A1,2044-08-15,15
3618,Consolidated C-87,43-30580,USAAF,India,A1,2044-08-17,6
3619,Curtiss C-46A,42-96530,USAAF,Morocco,A1,2044-08-18,6
3620,Douglas C-47 (DC-3),41-38584,USAAF,Nigeria,A1,2044-08-18,3
3621,Consolidated C-87,43-30582,USAAF,China,A1,2044-08-18,6
3622,Douglas C-47A (DC-3),42-108930,USAAF,China,C1,2044-08-18,6
3623,Curtiss C-46A,42-3616,USAAF,India,A1,2044-08-19,3
3624,Douglas C-47A (DC-3),43-30640,USAAF,Myanmar,A1,2044-08-19,7
3625,Douglas Dakota III (DC-3),KG789,RAF,Nigeria,A1,2044-08-19,0
3626,Curtiss C-46A,42-107303,USAAF,India,A1,2044-08-21,6
3627,Douglas C-47A (DC-3),43-15162,USAAF,Atlantic Ocean,A1,2044-08-21,8
3628,Lockheed 18 Lodestar,CB-25,LAB,Bolivia,A1,2044-08-21,6
3629,Douglas Dakota III (DC-3),KG421,RAF,France,C1,2044-08-21,0
3630,Douglas Dakota III (DC-3),KG752,RAF,Italy,A1,2044-08-21,5
3631,Curtiss C-46A,42-107365,USAAF,Iraq,A1,2044-08-22,6
3632,Douglas C-47A (DC-3),42-93071,USAAF,U.K.,A1,2044-08-22,6
3633,Douglas C-47A (DC-3),42-100967,USAAF,U.K.,A1,2044-08-22,6
3634,Consolidated C-87,41-11745,USAAF,Brazil,A1,2044-08-22,6
3635,Douglas C-47 (DC-3),41-18507,USAAF,USA,A1,2044-08-22,6
3636,Douglas Dakota III (DC-3),FZ596,RCAF,Canada,A1,2044-08-22,0
3637,Douglas C-47A (DC-3),43-15381,USAAF,China,A1,2044-08-23,11
3638,Douglas C-47A (DC-3),43-15380,USAAF,Unknown country,A1,2044-08-23,6
3639,Curtiss C-46A,42-3632,USAAF,Myanmar,A1,2044-08-24,6
3640,Douglas C-47A (DC-3),42-100636,USAAF,U.K.,A1,2044-08-24,6
3641,Lockheed 18 Lodestar,PP-PBJ,Panair do Brasil,Brazil,A1,2044-08-24,6
3642,Douglas Dakota III (DC-3),FZ644,RAF,India,A1,2044-08-24,6
3643,Douglas Dakota III (DC-3),FZ550,RAF,India,A1,2044-08-24,6
3644,Curtiss C-46A,42-3566,USAAF,China,A1,2044-08-25,6
3645,Curtiss C-46A,42-3609,USAAF,China,A1,2044-08-25,6
3646,Curtiss C-46A,42-3575,USAAF,Myanmar,A1,2044-08-25,3
3647,Curtiss C-46A,42-61052,USAAF,Unknown country,U1,2044-08-26,6
3648,Douglas C-47A (DC-3),42-100574,USAAF,France,A1,2044-08-26,6
3649,Douglas C-47A (DC-3),43-15128,USAAF,Unknown country,A1,2044-08-26,6
3650,Douglas C-47 (DC-3),41-18339,USAAF,Unknown country,A1,2044-08-26,6
3651,Douglas C-47A (DC-3),42-23473,USAAF,Croatia,A1,2044-08-27,6
3652,Douglas C-47A (DC-3),43-15655,USAAF,France,A1,2044-08-27,4
3653,Consolidated PBY-5A Catalina,33961,US Navy,Atlantic Ocean,A1,2044-08-27,0
3654,Douglas C-47A (DC-3),42-100630,USAAF,France,A1,2044-08-27,6
3655,Junkers Ju-52/3mge,EC-AAG,Iberia,Morocco,A1,2044-08-27,6
3656,Consolidated C-87,44-39214,USAAF,China,A1,2044-08-27,6
3657,Curtiss C-46A,41-24704,USAAF,Unknown country,U1,2044-08-28,6
3658,Douglas C-47A (DC-3),G-AGIR,BOAC,Morocco,A1,2044-08-28,6
3659,Douglas C-54A (DC-4),42-72171,USAAF,U.K.,A1,2044-08-28,25
3660,Lockheed Lodestar II (C-60),EW983,RAF,India,A1,2044-08-28,0
3661,Douglas C-47 (DC-3),41-38721,USAAF,Unknown country,A1,2044-08-28,6
3662,Douglas C-47A (DC-3),43-47977,USAAF,Atlantic Ocean,A1,2044-08-29,2
3663,Lockheed C-60A Lodestar,G-AGIH,BOAC,Sweden,A1,2044-08-29,11
3664,Consolidated C-87,43-30616,USAAF,Morocco,A1,2044-08-29,6
3665,Douglas C-47A (DC-3),42-24258,USAAF,P.N. Guinea,A1,2044-08-30,6
3666,Lockheed 18 Lodestar,PP-PBI,Panair do Brasil,Brazil,A1,2044-08-30,16
3667,Douglas C-47 (DC-3),41-38565,USAAF,China,C1,2044-08-30,6
3668,Budd RB-1 Conestoga,39296,US Navy,USA,A1,2044-08-30,0
3669,Douglas C-47A (DC-3),97,CNAC,China,A1,2044-08-31,2
3670,Douglas C-47B (DC-3),43-16342,USAAF,Philippines,U1,2044-08-31,6
3671,Douglas DC-2-115F,YR-GAD,LARES,Romania,C1,1944-08-01,0
3672,Douglas DC-3 (Nakajima L2D),J-BIOF,Imperial Japanese Airways,Malaysia,A1,1944-08-01,6
3673,Curtiss C-46A,41-24712,USAAF,China,A1,2044-09-01,6
3674,Curtiss C-46A,42-61064,USAAF,Unknown country,A1,2044-09-01,6
3675,Douglas C-47A (DC-3),43-15802,USAAF,Myanmar,A1,2044-09-01,6
3676,Douglas C-47A (DC-3),42-100958,USAAF,Serbia,A1,2044-09-02,6
3677,Curtiss C-46A,42-96548,USAAF,China,A1,2044-09-02,6
3678,Curtiss C-46A,42-3639,USAAF,Unknown country,U1,2044-09-02,6
3679,Douglas C-47A (DC-3),42-24288,USAAF,France,A1,2044-09-02,6
3680,Douglas C-53C Skytrooper (DC-3),43-2034,USAAF,U.K.,A1,2044-09-02,6
3681,Junkers Ju-52/3m,D-AUAW,Deutsche Lufthansa,Croatia,C1,2044-09-02,5
3682,Douglas C-47A (DC-3),43-15067,USAAF,U.K.,O1,2044-09-02,3
3683,Douglas C-47A (DC-3),42-100821,USAAF,U.K.,O1,2044-09-02,6
3684,Junkers Ju-52/3m,S.2+07,Hungarian AF,Slovakia,C1,2044-09-02,1
3685,Consolidated C-87,43-30563,USAAF,India,A1,2044-09-03,6
3686,Douglas R5D-2 (DC-4),90385,US Navy,USA,A1,2044-09-04,1
3687,Douglas C-47 (DC-3),41-7860,USAAF,USA,A1,2044-09-04,6
3688,Douglas C-47 (DC-3),41-18513,USAAF,France,A1,2044-09-04,6
3689,Douglas Dakota III (DC-3),KG471,South African AF,U.K.,A1,2044-09-04,0
3690,Douglas C-47A (DC-3),43-48011,USAAF,USA,A1,2044-09-04,6
3691,Curtiss C-46A,41-24643,USAAF,Unknown country,U1,2044-09-05,6
3692,Curtiss C-46A,41-24709,USAAF,India,A1,2044-09-05,6
3693,Douglas C-47A (DC-3),42-24256,USAAF,Indonesia,A1,2044-09-05,6
3694,Curtiss C-46A,41-24697,USAAF,Unknown country,U1,2044-09-06,6
3695,Short Sunderland III,ML823,RAF,Ireland,A1,2044-09-06,9
3696,Consolidated PBY-5 Catalina,4492,US Navy,Pacific Ocean,A1,2044-09-06,6
3697,Consolidated C-87,44-39233,USAAF,India,A1,2044-09-06,6
3698,Consolidated C-87,44-39244,USAAF,India,A1,2044-09-06,6
3699,Douglas C-54A (DC-4),42-72211,USAAF,USA,A1,2044-09-07,3
3700,Douglas C-47A (DC-3),43-15745,USAAF,Canada,A1,2044-09-07,0
3701,Douglas C-47A (DC-3),DT-941,Netherlands East Indies AF,Australia,A1,2044-09-07,20
3702,Curtiss C-46A,42-61054,USAAF,India,A1,2044-09-08,6
3703,Consolidated PBY-5 Catalina,8244,US Navy,Pacific Ocean,A1,2044-09-08,6
3704,Douglas C-47A (DC-3),42-93278,USAAF,U.K.,A1,2044-09-08,4
3705,Douglas C-47A (DC-3),43-47976,USAAF,Belgium,A1,2044-09-08,6
3706,Douglas C-47 (DC-3),41-7863,USAAF,Unknown country,A1,2044-09-08,6
3707,Douglas C-47 (DC-3),41-38587,USAAF,China,C1,2044-09-08,6
3708,Douglas C-47 (DC-3),41-19474,USAAF,China,C1,2044-09-08,6
3709,Douglas C-47A (DC-3),42-23870,USAAF,USA,A1,2044-09-09,9
3710,Douglas C-47B (DC-3),43-16174,USAAF,India,A1,2044-09-09,6
3711,Consolidated C-87,43-30609,USAAF,India,A1,2044-09-09,4
3712,Douglas C-47A (DC-3),43-15051,USAAF,Myanmar,A1,2044-09-10,6
3713,Consolidated C-87,44-39230,USAAF,India,A1,2044-09-10,6
3714,Douglas C-47A (DC-3),43-30748,USAAF,Indonesia,A1,2044-09-10,6
3715,Curtiss C-46A,42-3661,USAAF,China,A1,2044-09-11,6
3716,Douglas C-53 Skytrooper (DC-3),42-15893,USAAF,Algeria,A1,2044-09-11,6
3717,Lockheed C-60A Lodestar,42-55986,USAAF,USA,A2,2044-09-11,6
3718,Douglas C-47A (DC-3),42-23841,USAAF,India,A1,2044-09-12,6
3719,Douglas C-47A (DC-3),42-23777,USAAF,USA,A1,2044-09-12,6
3720,Douglas Dakota III (DC-3),KG553,RAF,India,A1,2044-09-12,6
3721,Douglas C-47B (DC-3),43-48618,USAAF,USA,A1,2044-09-12,6
3722,Douglas Dakota III (DC-3),FD835,RAF,Myanmar,A1,2044-09-12,6
3723,Curtiss C-46A,42-107281,USAAF,Eritrea,A1,2044-09-13,6
3724,Douglas C-47A (DC-3),42-24317,USAAF,USA,A1,2044-09-14,2
3725,Douglas C-47A (DC-3),42-24321,USAAF,USA,A1,2044-09-14,2
3726,Douglas C-47A (DC-3),42-93726,USAAF,U.K.,A1,2044-09-14,6
3727,Consolidated PBY-5A Catalina,2460,US Navy,Unknown country,A1,2044-09-14,6
3728,Douglas C-47A (DC-3),42-23959,USAAF,P.N. Guinea,A1,2044-09-14,0
3729,Douglas Dakota IV (DC-3),KJ803,RAF,Belgium,C1,2045-01-01,0
3730,Douglas Dakota III (DC-3),KG800,RAF,Belgium,C1,2045-01-01,0
3731,Douglas Dakota III (DC-3),KG331,RAF,Belgium,A1,2045-01-01,0
3732,Douglas Dakota III (DC-3),KG355,RAF,Belgium,A1,2045-01-01,0
3733,Douglas Dakota III  (DC-3),KG736,RAF,Belgium,C1,2045-01-01,0
3734,Douglas Dakota III (DC-3),KG488,RAF,Belgium,C1,2045-01-01,0
3735,Douglas C-47A (DC-3),42-93109,USAAF,Myanmar,A1,2045-01-02,6
3736,Douglas C-47A (DC-3),42-92817,USAAF,Pacific Ocean,A1,2045-01-02,6
3737,Curtiss C-46D,44-77349,USAAF,Unknown country,A1,2045-01-03,6
3738,Douglas C-47A (DC-3),43-15833,USAAF,Unknown country,U1,2045-01-03,6
3739,Curtiss C-46A,42-96780,USAAF,Unknown country,A1,2045-01-04,6
3740,Curtiss C-46D,42-101170,USAAF,Unknown country,A1,2045-01-04,6
3741,Curtiss C-46D,44-77332,USAAF,Unknown country,A1,2045-01-04,6
3742,Douglas DC-3A,NC19470,Panagra,Peru,A1,2045-01-04,4
3743,Douglas C-54A (DC-4),42-72250,USAAF,Portugal,A1,2045-01-04,6
3744,Douglas C-47A (DC-3),42-24051,USAAF,U.K.,A1,2045-01-04,0
3745,Douglas C-47A (DC-3),42-24195,USAAF,France,A1,2045-01-04,6
3746,Douglas C-47A (DC-3),43-15899,USAAF,Unknown country,U1,2045-01-04,6
3747,Douglas C-47 (DC-3),41-18611,USAAF,USA,A1,2045-01-05,6
3748,Curtiss C-46D,44-77343,USAAF,Unknown country,A1,2045-01-05,6
3749,Douglas C-47B (DC-3),43-48727,USAAF,U.K.,A1,2045-01-05,6
3750,Consolidated PBY-5A Catalina,46585,US Navy,USA,A1,2045-01-05,1
3751,Douglas C-47A (DC-3),42-100830,USAAF,Unknown country,A1,2045-01-05,6
3752,Douglas C-47A (DC-3),74,CNAC,China,A1,2045-01-06,3
3753,Douglas C-47A (DC-3),77,CNAC,Myanmar,A1,2045-01-06,4
3754,Curtiss C-46A,42-61046,USAAF,China,A1,2045-01-06,6
3755,Curtiss C-46A,42-96721,USAAF,India,A1,2045-01-06,13
3756,Douglas C-47A (DC-3),43-15392,USAAF,Myanmar,A1,2045-01-06,6
3757,Douglas C-47B (DC-3),43-48469,USAAF,France,A1,2045-01-06,6
3758,Douglas C-47 (DC-3),41-7797,USAAF,India,A1,2045-01-06,3
3759,Curtiss C-46A,42-96690,USAAF,USA,A1,2045-01-06,5
3760,Consolidated C-109,44-49235,USAAF,India,A1,2045-01-06,5
3761,Douglas C-47A (DC-3),43-15370,USAAF,Myanmar,A1,2045-01-07,6
3762,Curtiss C-46A,42-96559,USAAF,India,A1,2045-01-07,6
3763,Curtiss C-46D,42-101162,USAAF,Unknown country,U1,2045-01-07,6
3764,Douglas C-47B (DC-3),102,CNAC,China,A1,2045-01-07,3
3765,Consolidated C-109,44-49016,USAAF,Myanmar,A1,2045-01-07,4
3766,Curtiss C-46A,42-3683,USAAF,China,A1,2045-01-08,6
3767,Curtiss C-46A,42-96673,USAAF,China,A1,2045-01-08,6
3768,Martin M-130,NC14716,Pan Am,Trinidad & Tobago,A1,2045-01-08,23
3769,Douglas C-47B (DC-3),43-16184,USAAF,Myanmar,A1,2045-01-08,6
3770,Douglas C-47B (DC-3),43-16366,USAAF,USA,A1,2045-01-08,6
3771,Douglas C-47A (DC-3),42-23490,USAAF,USA,A1,2045-01-08,6
3772,Douglas C-47B (DC-3),43-16157,USAAF,USA,A1,2045-01-08,6
3773,Consolidated C-109,44-49245,USAAF,U.K.,A1,2045-01-08,2
3774,Douglas C-47A (DC-3),42-100687,USAAF,China,A1,2045-01-09,6
3775,Douglas R4D-5 (DC-3),39059,US Navy,P.N. Guinea,A1,2045-01-09,6
3776,Douglas C-47A (DC-3),42-100479,USAAF,Indonesia,A1,2045-01-09,5
3777,Douglas DC-3-277B,NC25684,American Airlines,USA,A1,2045-01-10,24
3778,Curtiss C-46A,42-107304,USAAF,China,A1,2045-01-10,6
3779,Consolidated PBY-5A Catalina,46528,US Navy,Philippines,A1,2045-01-10,6
3780,Douglas C-47A (DC-3),43-15882,USAAF,China,A1,2045-01-10,6
3781,Junkers Ju-52/3m,D-AUSS,Deutsche Lufthansa,Bosnia,A1,2045-01-10,7
3782,Douglas Dakota IV (DC-3),KJ835,RAF,U.K.,A1,2045-01-10,3
3783,Douglas Dakota III (DC-3),KG599,RAF,Belgium,O1,2045-01-10,6
3784,Junkers Ju-52/3m,G6+FP,German AF,Hungary,C1,2045-01-10,4
3785,Douglas C-47 (DC-3),41-38632,USAAF,USA,A1,2045-01-11,6
3786,Douglas C-47A (DC-3),42-100570,USAAF,U.K.,A1,2045-01-11,6
3787,Douglas C-47A (DC-3),42-93775,USAAF,China,A1,2045-01-11,6
3788,Douglas C-47A (DC-3),43-15766,USAAF,USA,A1,2045-01-11,6
3789,Junkers Ju-52/3m,52-1008,German AF,Hungary,A1,2045-01-11,4
3790,Douglas C-47A (DC-3),43-15747,USAAF,USA,A1,2045-01-12,6
3791,Consolidated PBY-5A Catalina,48289,US Navy,France,A1,2045-01-12,0
3792,Consolidated PBY-5A Catalina,46549,US Navy,Philippines,A1,2045-01-12,6
3793,Douglas C-47B (DC-3),43-49121,USAAF,Myanmar,C1,2045-01-12,6
3794,Douglas Dakota IV (DC-3),KJ857,RAF,Myanmar,C1,2045-01-12,1
3795,Douglas Dakota IV (DC-3),KJ899,RAF,Myanmar,C1,2045-01-12,6
3796,Junkers Ju-52/3m,F-BATO,German AF,Hungary,C1,2045-01-12,5
3797,Douglas C-47A (DC-3),43-15829,USAAF,Unknown country,U1,2045-01-12,6
3798,Junkers Ju-52/3m,14+07,German AF,Hungary,C1,2045-01-12,2
3799,Douglas C-47A (DC-3),42-100683,USAAF,India,A1,2045-01-13,6
3800,Douglas C-47A (DC-3),43-15548,USAAF,USA,A1,2045-01-13,6
3801,Douglas C-47A (DC-3),CCCP-L866,Aeroflot,Russia,A1,2045-01-13,6
3802,Douglas C-47A (DC-3),42-92045,USAAF,Indonesia,O1,2045-01-13,6
3803,Douglas C-47 (DC-3),70,CNAC,Myanmar,A1,2045-01-14,4
3804,Curtiss C-46D,42-101208,USAAF,India,A1,2045-01-14,6
3805,Consolidated PBY-5A Catalina,A24-96,RAAF,Indonesia,A1,2045-01-14,0
3806,Junkers Ju-52/3m,4V+FV,German AF,Hungary,C1,2045-01-14,3
3807,Junkers Ju-52/3m,CCCP-L46,"Aeroflot, Tajikistan",Tajikistan,A1,2045-01-14,3
3808,Curtiss C-46A,42-61020,USAAF,China,A1,2045-01-15,6
3809,Curtiss C-46A,42-96597,USAAF,India,A1,2045-01-15,6
3810,Curtiss C-46D,44-77452,USAAF,Pacific Ocean,A1,2045-01-15,6
3811,Douglas R4D-5 (DC-3),17234,US Navy,Philippines,A1,2045-01-15,21
3812,Consolidated C-87,44-39242,USAAF,China,A1,2045-01-15,6
3813,Douglas C-47A (DC-3),42-93191,USAAF,USA,A1,2045-01-16,4
3814,Douglas C-47A (DC-3),93,CNAC,China,A1,2045-01-16,3
3815,Douglas C-47A (DC-3),43-15382,USAAF,Unknown country,A1,2045-01-16,6
3816,Douglas C-47A (DC-3),42-93746,USAAF,Myanmar,A1,2045-01-17,6
3817,Douglas Dakota III (DC-3),KG793,RAF,India,A1,2045-01-17,6
3818,Douglas C-47A (DC-3),42-93329,USAAF,Myanmar,A1,2045-01-18,6
3819,Douglas C-47B (DC-3),43-48611,USAAF,France,A1,2045-01-18,6
3820,Douglas C-47B (DC-3),43-49871,USAAF,Pacific Ocean,A1,2045-01-18,6
3821,Short Sunderland III,PP136,RAF,U.K.,O1,2045-01-18,0
3822,Douglas C-47A (DC-3),42-100437,USAAF,Philippines,A1,2045-01-18,6
3823,Douglas C-47B (DC-3),43-16205,USAAF,P.N. Guinea,A1,2045-01-18,0
3824,Douglas C-47B (DC-3),43-48635,USAAF,India,A1,2045-01-18,6
3825,Douglas C-47A (DC-3),42-92099,USAAF,France,A1,2045-01-19,6
3826,Douglas C-47B (DC-3),43-49451,USAAF,China,A1,2045-01-19,6
3827,Consolidated C-109,44-49050,USAAF,China,A1,2045-01-19,6
3828,Consolidated C-109,44-49015,USAAF,China,A1,2045-01-19,6
3829,Douglas C-53 Skytrooper (DC-3),41-20104,USAAF,India,A1,2045-06-09,6
3830,Curtiss C-46D,44-77415,USAAF,Unknown country,A1,2045-06-10,6
3831,Curtiss C-46A,42-3602,USAAF,China,A1,2045-06-10,6
3832,Curtiss C-46A,43-47073,USAAF,China,A1,2045-06-10,6
3833,Consolidated PBY-5 Catalina,8353,US Navy,Gambia,A1,2045-06-11,6
3834,Curtiss C-46D,44-77336,USAAF,Pacific Ocean,A1,2045-06-11,6
3835,Douglas Dakota III (DC-3),KG477,RAF,Myanmar,A1,2045-06-11,6
3836,Curtiss C-46A,42-61082,USAAF,China,A1,2045-06-12,6
3837,Ford 5-AT-B Tri-Motor,AN-AAR,TACA de Nicaragua,Nicaragua,A1,2045-06-12,1
3838,Douglas C-47A (DC-3),43-15834,USAAF,China,A1,2045-06-12,6
3839,Consolidated C-109,44-49660,USAAF,India,A1,2045-06-12,6
3840,Douglas C-47A (DC-3),42-93230,USAAF,Indonesia,A1,2045-06-12,4
3841,Consolidated C-109,44-49684,USAAF,China,A1,2045-06-12,6
3842,Curtiss C-46D,44-77353,USAAF,Pacific Ocean,A1,2045-06-13,6
3843,Douglas C-47A (DC-3),43-15883,USAAF,Myanmar,A1,2045-06-13,6
3844,Douglas R4D-5 (DC-3),12408,US Navy,USA,A1,2045-06-13,6
3845,Douglas Dakota IV (DC-3),KN468,RAF,Myanmar,A1,2045-06-13,6
3846,Douglas C-54D (DC-4),42-72491,USAAF,India,A1,2045-06-14,6
3847,Curtiss C-46A,43-47325,USAAF,India,A1,2045-06-14,6
3848,Consolidated PBY-5A Catalina,A24-91,RAAF,Indonesia,O1,2045-06-14,6
3849,Curtiss C-46D,44-77948,USAAF,USA,A1,2045-06-14,17
3850,Douglas Dakota III (DC-3),KG694,RAF,Myanmar,A1,2045-06-14,2
3851,Curtiss C-46A,42-101037,USAAF,India,A1,2045-06-14,1
3852,Douglas C-47A (DC-3),81,CNAC,China,A1,2045-06-15,3
3853,Curtiss C-46A,43-47166,USAAF,China,A1,2045-06-15,0
3854,Douglas C-47A (DC-3),43-15847,USAAF,China,A1,2045-06-15,6
3855,Consolidated C-109,44-48883,USAAF,Bangladesh,A1,2045-06-15,6
3856,Curtiss C-46A,43-47094,USAAF,China,A1,2045-06-16,0
3857,Douglas C-47A (DC-3),42-100499,USAAF,U.K.,A1,2045-06-16,6
3858,Douglas C-47B (DC-3),43-16180,USAAF,Myanmar,A1,2045-06-16,6
3859,Douglas C-47A (DC-3),43-30746,USAAF,P.N. Guinea,A1,2045-06-16,12
3860,Douglas C-47A (DC-3),43-15447,USAAF,Philippines,A1,2045-06-17,8
3861,Douglas C-47B (DC-3),43-48730,USAAF,Myanmar,A1,2045-06-18,6
3862,Curtiss C-46A,43-47200,USAAF,China,A1,2045-06-18,6
3863,Curtiss C-46A,42-96594,USAAF,India,A1,2045-06-18,6
3864,Douglas C-54B (DC-4),42-72372,USAAF,Algeria,A1,2045-06-18,4
3865,Curtiss C-46A,43-47336,USAAF,China,A1,2045-06-19,6
3866,Douglas C-47A (DC-3),43-15427,USAAF,Philippines,A1,2045-06-19,6
3867,PB2B-1 Catalina,A24-206,RAAF,Australia,O1,2045-06-20,2
3868,Douglas Dakota IV (DC-3),KK175,RAF,Myanmar,A1,2045-06-20,6
3869,Douglas C-47B (DC-3),KN563,RCAF,Myanmar,A1,2045-06-21,5
3870,Douglas Dakota III (DC-3),FD843,RAF,Myanmar,A1,2045-06-21,6
3871,OA-10A Canso A (PBY-5A),44-34050,USAAF,Pacific Ocean,A1,2045-06-21,11
3872,Douglas C-47A (DC-3),42-93233,USAAF,Unknown country,A1,2045-06-21,6
3873,Consolidated PBY-5A Catalina,A24-107,RAAF,Indonesia,O1,2045-06-22,0
3874,Curtiss C-46D,44-78269,USAAF,Unknown country,A1,2045-06-22,6
3875,Curtiss C-46A,42-107339,USAAF,USA,A1,2045-06-22,3
3876,Douglas C-47B (DC-3),43-16230,USAAF,Indonesia,A1,2045-06-22,7
3877,Douglas C-47B (DC-3),43-16195,USAAF,Myanmar,A1,2045-06-23,25
3878,Curtiss C-46D,44-78132,USAAF,Unknown country,A1,2045-06-23,6
3879,Curtiss C-46D,44-78230,USAAF,Unknown country,A1,2045-06-23,6
3880,Douglas Dakota IV (DC-3),KN455,RAF,Myanmar,A1,2045-06-23,4
3881,DH.86A Express,VH-USF,MacRobertson Miller Airlines,Australia,A1,2045-06-24,2
3882,Curtiss C-46A,43-47235,USAAF,Myanmar,A1,2045-06-24,6
3883,Douglas C-47A (DC-3),42-92985,USAAF,Unknown country,A1,2045-06-24,6
3884,Consolidated PBY-5A Catalina,46626,US Navy,USA,A1,2045-06-24,6
3885,Curtiss C-46D,42-101205,USAAF,Myanmar,A1,2045-06-24,6
3886,Douglas C-47A (DC-3),42-100938,USAAF,France,A1,2045-06-25,6
3887,Douglas C-47A (DC-3),43-15448,USAAF,Unknown country,A1,2045-06-25,6
3888,Douglas Dakota IV (DC-3),KJ901,RAF,Myanmar,A1,2045-06-25,6
3889,Curtiss C-46D,44-78219,USAAF,Myanmar,A1,2045-06-26,6
3890,Douglas C-47A (DC-3),43-15853,USAAF,China,A1,2045-06-26,6
3891,Consolidated C-87,44-39239,USAAF,India,A1,2045-06-26,6
3892,Douglas Dakota IV (DC-3),KN218,RAF,Myanmar,A1,2045-06-26,4
3893,Curtiss C-46A,42-96608,USAAF,China,A1,2045-06-27,6
3894,Curtiss R5C-1 (C-46A),39596,US Navy,Micronesia,U1,2045-06-27,6
3895,Douglas C-47B (DC-3),A65-77,RAAF,Australia,A1,2045-06-27,0
3896,Curtiss C-46A,42-96588,USAAF,India,A1,2045-06-27,6
3897,Douglas Dakota IV (DC-3),KN602,RAF,Bangladesh,A1,2045-06-27,13
3898,Douglas C-47A (DC-3),FZ583,RCAF,USA,A1,2045-06-27,3
3899,Douglas C-47A (DC-3),43-15699,USAAF,Myanmar,A1,2045-06-27,6
3900,Consolidated Catalina IVB (PB2B-1),JX435,RCAF,Cocos Isl.,A1,2045-06-27,9
3901,Douglas C-47B (DC-3),43-48625,USAAF,China,A1,2045-06-28,6
3902,Douglas C-47A (DC-3),42-100728,USAAF,Indonesia,A1,2045-06-28,5
3903,Douglas C-47A (DC-3),43-16020,USAAF,Philippines,A1,2045-06-29,6
3904,Douglas R4D-5 (DC-3),17161,US Navy,USA,A1,2045-06-30,0
3905,Curtiss C-46A,42-101062,USAAF,China,A1,2045-06-30,3
3906,Douglas C-47A (DC-3),42-100620,USAAF,Unknown country,A1,2045-06-30,6
3907,Douglas C-47A (DC-3),43-15881,USAAF,Myanmar,A1,2045-06-30,3
3908,Curtiss C-46D,42-101050,USAAF,India,A1,2045-06-30,0
3909,Curtiss C-46A,43-47219,USAAF,Unknown country,U1,1945-06-01,6
3910,Douglas C-47A (DC-3),42-93485,USAAF,Philippines,A1,1945-06-01,6
3911,Douglas C-47A (DC-3),43-16101,USAAF,USA,A1,2045-07-01,5
3912,Consolidated C-87,41-24161,USAAF,India,A1,2045-07-01,6
3913,Curtiss C-46D,44-77854,USAAF,Unknown country,A1,2045-07-02,6
3914,Curtiss C-46D,44-78251,USAAF,Unknown country,A1,2045-07-02,6
3915,Curtiss C-46A,42-101112,USAAF,Myanmar,A1,2045-07-02,6
3916,Douglas C-47A (DC-3),43-15886,USAAF,Myanmar,A1,2045-07-02,0
3917,Douglas Dakota IV (DC-3),KN344,RAF,P.N. Guinea,A1,2045-07-02,3
3918,Douglas Dakota IV (DC-3),KK189,RAF,Myanmar,A1,2045-07-02,4
3919,Douglas Dakota III (DC-3),FL643,RAF,Myanmar,A1,2045-07-02,6
3920,Douglas C-47A (DC-3),42-24268,USAAF,France,A1,2045-07-03,6
3921,Douglas C-54D (DC-4),42-72680,USAAF,Portugal,A1,2045-07-03,4
3922,Consolidated C-10 Catalina (PBY-5),6504,Brazilian AF,USA,A1,2045-07-03,7
3923,Curtiss C-46D,42-101209,USAAF,Myanmar,A1,2045-07-03,6
3924,Douglas C-54B (DC-4),42-72370,USAAF,China,A1,2045-07-04,5
3925,Curtiss C-46D,44-77779,USAAF,Unknown country,A1,2045-07-04,6
3926,Curtiss C-46D,44-77755,USAAF,Unknown country,A1,2045-07-04,6
3927,Curtiss R5C-1 (C-46),39561,USMC,Guam,A1,2045-07-04,6
3928,Curtiss C-46D,44-78162,USAAF,China,A1,2045-07-04,6
3929,Curtiss C-46D,44-78160,USAAF,China,A1,2045-07-04,6
3930,Curtiss C-46D,44-78241,USAAF,China,A1,2045-07-05,6
