,type,registration,operator,country,cat,new_date,new_fatalities
14878,Antonov An-26,D2-TAB,TAAG,Angola,A1,1982-11-29,15
14879,DHC-6 Twin Otter 310,HK-2536,ACES,Colombia,A1,1982-11-29,22
14880,Douglas DC-3C,PK-OBJ,Airfast Indonesia,Indonesia,U1,1982-11-01,6
14881,BN-2 Islander,G6+MP,Flight Centre Victoria,Canada,H2,1982-12-01,0
14882,Boeing 707-323B,N8434,Global Int. Airways,Brazil,A1,1982-12-04,0
14883,Douglas C-53-DO (DC-3),N163E,private,USA,A1,1982-12-05,0
14884,Learjet 35A,HB-VFO,Transair SA,France,A1,1982-12-06,0
14885,Swearingen SA227-AC Metro III,N30093,Pioneer Airlines,USA,A1,1982-12-07,2
14886,Fairchild F-27A,CC-CJE,Aeronor Chile,Chile,A1,1982-12-09,46
14887,Hawker Siddeley HS-748,PK-IHI,Bouraq Indonesia,Indonesia,A1,1982-12-10,0
14888,Douglas C-47A (DC-3),HK-2580,TALA,Colombia,A1,1982-12-12,5
14889,Antonov An-24B,CCCP-46567,"Aeroflot, Central Region",Ukraine,A1,1982-12-16,0
14890,Antonov An-26,CCCP-26627,"Aeroflot, Turkmenistan",Russia,A1,1982-12-23,16
14891,Ilyushin Il-18B,B-202,CAAC,China,A1,1982-12-24,25
14892,Dornier Do 128-6 Turbo Skyservant,9Q-COT,SOMINKI,D.R. Congo,U1,1982-12-28,6
14893,Boeing 727,42-23346,United Airlines,USA,H2,1982-12-30,0
14894,Douglas C-54Q (DC-4),N111AV,Florida Aircraft Leasing,Bahamas,U1,1982-01-01,6
14895,DHC-6 Twin Otter 300,5A-DCW,Libyan Ministry of Agriculture,Libya,A1,1982-01-01,0
14896,Douglas C-47B (DC-3),RP-C3,Bangko Sentral Ng Pilipinas,Philippines,U1,1982-01-01,6
14897,Canadair Challenger 600,N805C,A.E. Stanley Manufacturing Co.,USA,A1,1983-01-03,2
14898,Boeing 727,NC15065,Delta Air Lines,USA,H2,1983-01-07,0
14899,Boeing 727-86,EP-IRA,Iran Air,Iran,A1,1983-01-07,0
14900,Convair CV-580-11-A,N8444H,Republic Airlines,USA,A2,1983-01-09,1
14901,Lockheed 18 Lodestar,N520R,private,USA,A1,1983-01-11,0
14902,DC-8-54F,N8053U,United Airlines,USA,A1,1983-01-11,3
14903,Rockwell Sabreliner 65,N99S,Sun Oil Co,Canada,A1,1983-01-11,5
14904,Lockheed L-1049G Super Constellation,IN-316,Indian Navy,India,A1,1983-01-12,0
14905,BN-2A-21 Islander,42-101199,Indian AF,India,A1,1983-01-12,0
14906,Douglas DC-3C,TG-SAB,Unknown,USA,A1,1983-01-16,0
14907,Boeing 727-2F2,TC-JBR,THY,Turkey,A1,1983-01-16,47
14908,Lockheed L-1329-25 JetStar II,5A-DAR,Libyan Government,Libya,A1,1983-01-16,2
14909,Shorts 330-200,HS-TS.,Thai Airways,Thailand,H2,1983-01-18,0
14910,Boeing 727,4650,Northwest Orient Airlines,USA,H2,1983-01-20,1
14911,Boeing 707-300,N81PF,Alyemda,Djibouti,H2,1983-01-20,0
14912,Dornier Do 128-6MPA Turbo Skyservant,TJX-BO,Cameroon AF,Cameroon,U1,1983-01-27,6
14913,DHC-6 Twin Otter 200,T-83,LADE,Argentina,A2,1983-01-28,0
14914,Boeing 747-237B,VT-EFO,Air-India,India,A2,1983-01-28,0
14915,Airbus A300B2-101,VT-EFV,Indian Airlines,India,A2,1983-01-28,0
14916,Antonov An-26,14-28,Cuban AF,Cuba,A1,1983-02-03,6
14917,Cessna 550 Citation II,N222WL,Weatherford Services.,USA,A1,1983-02-06,0
14918,Antonov An-2TP,CCCP-32320,"Aeroflot, North Kavkaz",Russia,A1,1983-02-07,0
14919,Learjet 35A,N482U,Upali Air,Malaysia,A1,1983-02-13,6
14920,Lockheed C-130H Hercules,74-1693,USAF,USA,A1,1983-02-13,6
14921,Airbus A300B4-203,159892,TAA,Australia,H2,1983-02-13,0
14922,DHC-7-102,51-8163,Rio Airways,Mexico,H2,1983-02-15,0
14923,Douglas DC-3,C-FBKX,Ontario Central Airlines,Canada,A1,1983-02-15,0
14924,DHC-6 Twin Otter 300,N361V,Sierra Pacific Airlines,USA,A1,1983-02-15,0
14925,Antonov An-12,LV-WDO,Soviet AF,Afghanistan,C1,1983-02-15,5
14926,BN-2A-21 Islander,LN-MAF,Norving,Norway,U1,1983-02-17,6
14927,Tupolev Tu-134A,63-8886,CSA,Czech Rep.,H2,1983-02-18,1
